Name,Full Name,Korean Description,English Description,대분류,중분류,소분류
DBMT,Database Monitoring,"목적: 데이터베이스 모니터링 API 서버. x7/x8/x9 DB CPU 부하 상태 API 제공.
주요 기능:
- x7/x8/x9 DB CPU 부하 상태 API
도메인: DB 모니터링, CPU 부하, 운영 API","Purpose: Database monitoring API server; exposes DB CPU load for x7/x8/x9.
Functions:
- Provide CPU-load API for x7/x8/x9 DBs
Domain: DB monitoring, CPU load, ops API",운영,모니터링/도구,DB 모니터링
DCP,Digital Card Platform,"목적: 모바일 카드 관리 컴포넌트. 토큰/라이프사이클/암호화 키 관리.
주요 기능:
- 모바일 카드 토큰 관리
- 라이프사이클(DELETE/ACTIVE/SUSPENDED)
- 모바일 거래 암호화 키 관리
도메인: 디지털 카드, HCE, 토큰, 라이프사이클, 키 관리","Purpose: Manages mobile (digital) cards: tokens, lifecycle, encryption keys.
Functions:
- Manage mobile-card tokens
- Manage lifecycle (DELETE/ACTIVE/SUSPENDED)
- Manage encryption keys for mobile transactions
Domain: digital card, HCE, token, lifecycle, key management",카드,카드 관리,모바일카드
DDA,Display Data Api,"목적: 앱 전시 데이터 API 서비스 (데이터 표시 무관).
주요 기능:
- 앱 전시 데이터 API 제공
도메인: 전시 데이터, API, 앱","Purpose: API service providing exhibition (display) data for the app.
Functions:
- Serve display-data API for app
Domain: display data, API, app",카드,카드 조회,데이터 전시
DDV,Display Data Webview,"목적: 앱 전시 데이터 웹뷰 서비스 (데이터 표시 무관).
주요 기능:
- 앱 전시 데이터 웹뷰 제공
도메인: 전시 데이터, 웹뷰, 앱","Purpose: WebView service for the app's exhibition (display) data.
Functions:
- Serve display-data WebView for app
Domain: display data, webview, app",카드,카드 조회,데이터 전시
EAS,External Alliance Service,"목적: 외부 제휴 서비스 컴포넌트. KB PLCC, CU 멤버십, 상품 서비스 코드 관리.
주요 기능:
- KB PLCC 카드 처리
- CU 멤버십 처리
- 서비스 코드 관리
도메인: 외부 제휴, PLCC, KB, CU, 멤버십","Purpose: External-alliance service; handles KB PLCC, CU membership, product service codes.
Functions:
- KB PLCC card handling
- CU membership handling
- Service code management
Domain: external alliance, PLCC, KB, CU, membership",카드,카드 관리,외부 제휴 카드
ECA,Easy Card Apply,"목적: 웹페이지를 통해 코나카드를 신청할 수 있는 사이트.
주요 기능:
- 웹 기반 코나카드 신청 접수
도메인: 카드 신청, 웹 신청, 가입","Purpose: Website where users can apply for a KonaCard.
Functions:
- Accept web-based KonaCard applications
Domain: card application, web apply, signup",카드,카드 관리,카드 신청
EDM,External Data Manager,"목적: 외부 서비스 제휴사 커뮤니케이션 컴포넌트. 제휴사 카드 등록 혜택, 충전, 은행계좌-제휴사 계좌 정보 연동 등 지원.
주요 기능:
- 제휴사 정보 수집 및 부가 서비스 제공
- 제휴사 카드 등록 시 혜택 부여
- 제휴사 충전 처리
- 은행 계좌 등록 시 제휴사 계좌 정보 제공
도메인: 외부 제휴, MODU, SKT, 통합콜, 농협, 충전, 카드 등록
연계: 모두, SKT, 통합콜, 아들에날린, 농협은행","Purpose: External-data manager handling communication with affiliate partners; provides registration benefits, charging, bank-account info exchange.
Functions:
- Collect partner info and offer add-on services
- Grant benefits on partner card registration
- Charge via partner
- Provide partner-account info on bank registration
Domain: external alliance, MODU, SKT, Unified Call, Nonghyup, charge, registration
Related: MODU, SKT, Unified Call, Nonghyup Bank",플랫폼,외부 연계,외부 제휴
EGS,External Gateway System,"목적: Portal·고객센터 등 외부 컴포넌트가 코어 API와 통신할 수 있도록 하는 게이트웨이.
주요 기능:
- Portal/고객센터 → 코어 API 라우팅
- 외부 컴포넌트 인증 및 매핑
도메인: 외부 게이트웨이, Portal, 코어 API
연계: etn, itn, map, ias, apigw, cdm, cardse, cms, kps, kcs, knotify, gs, kcps, crs, cs, rs, vvan, edm, tsp, bizs, kmp","Purpose: Gateway letting external components (Portal, Call Center, etc.) talk to core API.
Functions:
- Route Portal/Call Center traffic to core API
- Authenticate and map external components
Domain: external gateway, portal, core API
Related: etn, itn, map, ias, apigw, cdm, cardse, cms, kps, kcs, knotify, gs, kcps, crs, cs, rs, vvan, edm, tsp, bizs, kmp",플랫폼,인프라/공통,API 게이트웨이
ELASTIC,Elastic Search,"목적: 연계 지자체의 충전·결제·유저정보 빅데이터 처리 및 지자체 전송 역할.
주요 기능:
- 지자체 빅데이터 처리(충전/결제/유저)
- 지자체 데이터 전송
도메인: Elastic Search, 지자체, 빅데이터, 데이터 전송","Purpose: Big-data processing and transmission of charge/payment/user info for partner local governments.
Functions:
- Process partner-gov big data (charge/payment/user)
- Transmit data to local governments
Domain: Elastic Search, local gov, big data, data transmission",플랫폼,인프라/공통,검색/저장소
EMS,Echo Mileage Service,"목적: 인천 서구 환경 마일리지 서비스. 걷기/자전거 파트너와 연계해 마일리지 적립.
주요 기능:
- 환경 마일리지 적립
- 걷기/자전거 파트너 연계
도메인: 환경 마일리지, 인천 서구, 걷기, 자전거","Purpose: Eco-mileage service for Seo-gu, Incheon; grants mileage via walking/cycling partners.
Functions:
- Accumulate eco-mileage
- Integrate with walking/cycling partners
Domain: eco mileage, Seo-gu Incheon, walking, cycling",부가서비스,포인트·리워드,마일리지
EPMS,External Portal Data Management Service,"목적: 외부 지자체 포탈의 데이터를 연동하여 App 전시 데이터로 활용.
주요 기능:
- 외부 지자체 포탈 데이터 수집
- App 전시 데이터 연동
도메인: 지자체 포탈, 외부 데이터, 전시 데이터","Purpose: Links data from external local-government portals; the data is used as in-app exhibition data.
Functions:
- Ingest data from external local-gov portals
- Feed into app display-data pipeline
Domain: local gov portal, external data, exhibition data",플랫폼,외부 연계,외부 포탈 데이터
ESIGN,Esign,"목적: 코나카드 서비스 신청을 온라인 전자계약으로 진행하는 서비스. 가맹점주 사용.
주요 기능:
- 온라인 전자계약 처리
- 가맹점주 신청 지원
도메인: 전자계약, 가맹점, 신청, ESIGN","Purpose: Electronic contract service for online KonaCard service application (used by merchants).
Functions:
- Online e-contract processing
- Support merchant onboarding
Domain: e-contract, merchant, application, ESIGN",가맹점,가맹점 관리,전자계약
ESP,Elastic Search Platform,"목적: 엘라스틱서치 기반 택시 정보 관리 컴포넌트.
주요 기능:
- 택시 정보 색인/검색
도메인: Elastic Search, 택시, 검색
연계: MAS, ETH","Purpose: Elasticsearch-based taxi-information management component.
Functions:
- Index and search taxi info
Domain: Elastic Search, taxi, search
Related: MAS, ETH",모빌리티,택시 거래/관제,택시 데이터 적재
ETH,Event To Hadoop,"목적: 택시 이벤트를 Hadoop에 저장하는 컴포넌트.
주요 기능:
- 택시 이벤트 Hadoop 적재
도메인: 택시, 이벤트, Hadoop, 빅데이터
연계: MAS","Purpose: Stores taxi events to Hadoop.
Functions:
- Persist taxi events to Hadoop
Domain: taxi, event, Hadoop, big data
Related: MAS",모빌리티,택시 거래/관제,택시 데이터 적재
ETM,Event To Mongo,"목적: 택시 이벤트를 MongoDB에 저장하는 컴포넌트.
주요 기능:
- 택시 이벤트 MongoDB 적재
도메인: 택시, 이벤트, MongoDB
연계: MAS","Purpose: Stores taxi events to MongoDB.
Functions:
- Persist taxi events to MongoDB
Domain: taxi, event, MongoDB
Related: MAS",모빌리티,택시 거래/관제,택시 데이터 적재
ETMS,Entry Ticket Management System,"목적: 응모권 발급 시스템. 이벤트 발생/응모 정책에 따라 응모권 채번 및 어드민 응모권 발급.
주요 기능:
- 이벤트 조건 만족 시 응모권 발급
- 응모정책별 중복 없는 응모권번호 채번
- 어드민용 응모권 일괄 발급
도메인: 응모권, 이벤트, 채번, Admin","Purpose: Entry-ticket issuance for events; assigns ticket numbers per policy and supports admin issuance.
Functions:
- Issue entry tickets when event conditions met
- Generate unique ticket numbers per policy
- Issue admin entry tickets in bulk
Domain: entry ticket, event, ticket number, admin",부가서비스,포인트·리워드,응모권
EWSM,External Web Service Manager,"목적: 외부 웹 서비스 연동 컴포넌트. MG신용정보를 통한 ARS 서비스 제공.
주요 기능:
- 수당 카드 등록 ARS
- 준준회원 가입 ARS
- 카드 분실/분실 해제 ARS
- 소득공제 신청 ARS
- 카드 잔액·포인트 조회 ARS
도메인: ARS, MG신용정보, 외부 웹 서비스, 수당
연계: MG신용정보(주)","Purpose: External web-service manager; provides ARS service via MG Credit Info.
Functions:
- Subsidy card registration via ARS
- Semi-member signup via ARS
- Card lost / lost-release via ARS
- Tax-deduction application via ARS
- Card balance/point inquiry via ARS
Domain: ARS, MG Credit Info, external web service, subsidy
Related: MG Credit Info Inc.",회원·인증,인증,ARS 본인인증
EZPS,Easy Payment Service,"목적: 신용카드 간편 결제 관리 서비스.
주요 기능:
- 신용카드 간편결제 관리
도메인: 신용카드, 간편결제, EZPS
연계: CPG","Purpose: Easy/simple credit-card payment management service.
Functions:
- Manage credit-card simple-payment flow
Domain: credit card, simple payment, EZPS
Related: CPG",거래,결제,신용카드 결제
FDMS,Fds Management System,"목적: 마스터카드 해외결제 FDS 검증을 위해 매입사 KB와 연동하는 컴포넌트.
주요 기능:
- 마스터카드 해외결제 FDS 연동
- KB 매입사 데이터 교환
도메인: FDS, 해외결제, 마스터카드, KB
연계: KB","Purpose: Component that links with KB (acquirer) to verify Mastercard overseas FDS.
Functions:
- Link Mastercard overseas FDS
- Exchange data with KB acquirer
Domain: FDS, overseas payment, Mastercard, KB
Related: KB",거래,결제,사기 탐지
FDS,Fraud Detection System,"목적: 이상금융거래 탐지(FDS) 컴포넌트. 이상탐지·정책정의·이상조치 3대 업무 수행.
주요 기능:
- 사전 정의된 정책으로 이상거래 탐지
- 이상거래 정책 정의 및 운영
- 탐지된 거래에 대한 사용자 제재(정지/해제)
도메인: FDS, 이상거래, 정책, 사기 탐지
연계: A-safe(레거시), KFDS(신규)","Purpose: Fraud Detection System; performs detection, policy definition, and response.
Functions:
- Detect fraud transactions per defined policy
- Define and operate fraud policies
- Sanction users (stop/resume) per accumulated info
Domain: FDS, fraud, policy, fraud detection
Related: A-safe (legacy), KFDS (new)",거래,결제,사기 탐지
FEP,Front End Point,"목적: 외부 제휴사와 TCP 방식 거래를 수용해 KONA 형식으로 변환하는 프론트엔드 포인트 컴포넌트(BC 매입사 등).
주요 기능:
- 외부 TCP 거래 수용
- KONA 플랫폼 형식으로 변환
도메인: 외부 연계, TCP, BC 매입사, 변환
연계: 외부 매입사/제휴사","Purpose: Front End Point that accepts external TCP-based transactions (e.g., BC acquirer) and converts them to KONA platform format.
Functions:
- Accept external TCP transactions
- Convert to KONA platform format
Domain: external integration, TCP, BC acquirer, conversion
Related: external acquirers/partners",거래,거래 인프라,매입사 연동
FPS,Fee Policy System,"목적: 서비스 이용 과금 관리 시스템.
주요 기능:
- 서비스 이용 과금 산정
- 과금 청구 관리
도메인: 과금, 정산, Fee Policy","Purpose: Fee policy / billing management system for service usage.
Functions:
- Compute service-usage fees
- Manage billing
Domain: fee, billing, policy",거래,정산,과금
FTM,File Transfer Management,"목적: 파일 전송 관리 시스템.
주요 기능:
- 파일 송수신 관리
도메인: 파일 전송, FTM","Purpose: File-transfer management system.
Functions:
- Manage file transfers
Domain: file transfer, FTM",플랫폼,인프라/공통,파일 전송
FXS,Foreign Exchange Service,"목적: 외환 관리 서비스. 외화 계좌·매입/매도 내역, 실시간 환율, 평단가, 정산 관리.
주요 기능:
- 외화 계좌 및 매입/매도 내역 관리
- 실시간 환율 조회
- 보유 외화 환율 평단가 관리
- 외화 매입/매도 정산
도메인: 외환, 환율, 외화 계좌, 매입, 매도, 정산","Purpose: Foreign-exchange management service: foreign-currency accounts, buy/sell, real-time rates, average price, settlement.
Functions:
- Manage FX accounts and buy/sell history
- Real-time exchange-rate lookup
- Manage average FX rate of held currency
- Settle FX buy/sell
Domain: FX, exchange rate, FX account, buy, sell, settlement",부가서비스,외환,외환
GDIS,Gyeonggido Disaster Service,"목적: 경기도 재난지원금 컴포넌트.
주요 기능:
- 경기도 재난지원금 처리
도메인: 경기도, 재난지원금","Purpose: Gyeonggi-do disaster-relief support component.
Functions:
- Process Gyeonggi-do disaster-relief funds
Domain: Gyeonggi, disaster relief",정책·지원금,재난지원금,신청 사이트
GS,Gift Service,"목적: 카드 선물·쿠폰 선물·송금 관리 컴포넌트. 전송 상태 관리 및 송수신자 매개.
주요 기능:
- 사용자간 카드/쿠폰 선물
- 어드민 선물 서비스
- 사용자간 송금
- 카드로 직접 송금
- 선물/송금 상태 관리
도메인: 선물, 쿠폰, 송금, 카드 선물","Purpose: Manages card gifts, coupon gifts, and remittance; manages transfer status and matches sender/receiver.
Functions:
- User-to-user gift service
- Admin gift service
- User-to-user remittance
- Direct remittance to card
- Status tracking for gifts/remittance
Domain: gift, coupon, remittance, card gift",부가서비스,송금·기부·선물,송금/선물
IAS,Issuer Authorization System,"목적: 카드 거래 원장(승인/지불/환불) 관리 및 승인 처리. ISO8583 가공, 거래내역 관리, 정산용 데이터 생성.
주요 기능:
- 거래 원장(승인/지불/환불) 관리
- 카드 잔액 및 서비스 상태 관리
- PP를 통한 ISO8583 데이터 가공·승인 처리
- 충전/지불/환불 거래내역 관리
- 정산용 거래 데이터 생성
- 월렛/콜센터/운영 UI에 거래 데이터 제공
도메인: 거래 원장, 승인, ISO8583, 충전, 지불, 환불, 정산
연계: PP, CLR, 월렛, 콜센터, CMS(카드 원장)","Purpose: Issuer authorization system; manages the transaction ledger (approval/payment/refund) and processes approvals. (Card ledger lives in CMS.)
Functions:
- Manage transaction ledger (approval/payment/refund)
- Manage card balance and service state
- Approve via ISO8583 processing through PP
- Manage charge/payment/refund history
- Generate tx data for clearing
- Feed Wallet, call center, ops UI
Domain: transaction ledger, approval, ISO8583, charge, pay, refund, clearing
Related: PP, CLR, Wallet, call center, CMS (card ledger)",거래,결제,거래 원장
IBFA,Inbound Foreiner Api,"목적: 외국인 인바운드 API. 외국인 포탈 백엔드(여행사용/내부 기능).
주요 기능:
- 외국인 인바운드 백엔드 API
도메인: 외국인, 인바운드, 여행사, API
연계: IBFP","Purpose: Foreign inbound API; backend for foreigner portal (travel-agency / internal use).
Functions:
- Backend API for foreign inbound services
Domain: foreigner, inbound, travel agency, API
Related: IBFP",운영,외국인,외국인 API
IBFP,Inbound Foreigner Portal,"목적: 외국인 인바운드 포탈. 외국인 관광객 어드민 포탈로 사용.
주요 기능:
- 외국인 관광객 어드민 화면 제공
- 여행사 운영 화면 제공
도메인: 외국인, 인바운드, 코나트래블, 관광
연계: IBFA","Purpose: Foreign inbound portal; admin portal for foreign tourists / travel agencies.
Functions:
- Admin screens for foreign tourists
- Travel-agency operation screens
Domain: foreigner, inbound, Kona Travel, tourism
Related: IBFA",운영,외국인,외국인 포탈
ICMS,Integrated Cash Management System,"목적: CMS 전문 방식의 외부 제휴사 파일 송수신 컴포넌트. 클라이언트(송신) + 서버(수신) 구성.
주요 기능:
- 외부 제휴사 파일 송신 클라이언트
- 외부 제휴사 파일 수신 서버
- CMS 전문 송수신 관리
도메인: CMS 전문, 파일 송수신, TCP, 외부 제휴사","Purpose: CMS TCP file-transfer component for external partners; consists of a sending client and receiving server.
Functions:
- File-sending client to partners
- File-receiving server from partners
- Manage CMS-format transfers
Domain: CMS, file transfer, TCP, external partner",플랫폼,외부 연계,CMS 전문 송수신
IEPS,Integrated Execution Processing System,"목적: 정책지원금 통합집행처리 시스템. 지자체/공무원이 사용.
주요 기능:
- 정책지원금 통합 집행 처리
도메인: 정책지원금, 통합집행, 지자체, 공무원","Purpose: Integrated execution processing system for policy support funds (used by local govs / officials).
Functions:
- Integrated execution of policy support funds
Domain: policy subsidy, integrated execution, local gov",정책·지원금,정책수당,통합 집행
IIS,Instant Issue Service,"목적: 즉시 발급 서비스.
주요 기능:
- 카드 즉시 발급 처리
도메인: 카드 발급, Instant Issue","Purpose: Instant card-issuance service.
Functions:
- Instant card issuance
Domain: card issuance, instant issue",카드,카드 관리,즉시 발급
IMCS,Integrated Mobility Clearing And Settlement,"목적: 교통정산 컴포넌트(Integrated Mobility Clearing and Settlement). 신용카드사 EDI 가맹점으로 교통 PG 역할.
주요 기능:
- 거래데이터 수집
- VAN/신용카드사 매입 요청
- 정산 대금 수령 후 택시 사업자에게 정산
- Online: 신용카드사 직연동
- Offline: VAN사 연동
도메인: 교통 PG, 정산, 신용카드, VAN, 택시
연계: 신용카드사, VAN, 택시 사업자","Purpose: Integrated Mobility Clearing and Settlement; acts as transportation PG (EDI affiliate of credit-card companies).
Functions:
- Collect transaction data
- Request acquirer (VAN or credit-card co.)
- Receive settlement and pay taxi operators
- Online: direct credit-card-company link
- Offline: VAN link
Domain: transportation PG, settlement, credit card, VAN, taxi
Related: credit-card co., VAN, taxi operator",모빌리티,모빌리티 정산,교통 정산
IMC_AGENT,Imc Agent,"목적: IMC(휴머스온) SMS Agent. SMS_core가 DB에 등록한 문자 내역을 중계서버로 전송하고 결과를 DB에 저장. 국내/해외 문자 전송 지원.
주요 기능:
- SMS_core가 DB에 등록한 문자 내역 조회
- IMC 중계서버로 문자 전송
- 전송 결과 DB 저장
- 국내/해외 SMS 전송
도메인: SMS, 문자 전송, IMC, 휴머스온, 국내/해외
연계: SMS-core, IMC(휴머스온)","Purpose: IMC (Humuson) SMS Agent; reads SMS records that SMS_core registered, sends to relay server, stores result. Supports domestic and overseas SMS.
Functions:
- Read SMS records registered by SMS_core
- Send SMS to IMC relay server
- Persist transmission result to DB
- Domestic and overseas SMS
Domain: SMS, message sending, IMC, Humuson, domestic/overseas
Related: SMS-core, IMC (Humuson)",플랫폼,알림,SMS Agent
ITA(TMS),Issuer Token Adapter,"목적: 크립토그램 검증 및 토큰 해제 어댑터. 거래 요청 수락 후 카드 브랜드/거래모드별 검증, ATC 정책 위반 시 디지털 카드 정보 삭제 요청, TSP와 통신해 토큰 해제.
주요 기능:
- 거래 요청 수락 및 카드 브랜드/모드 결정
- 크립토그램 검증
- ATC 값 범위 정책으로 거래 검증
- 부적격 시 디지털 카드 정보 삭제 요청
- TSP 통신을 통한 토큰 해제
도메인: TMS, 크립토그램, 토큰 해제, ATC, 비정상 거래
연계: TSP, DCP, IAS","Purpose: Issuer Token Adapter; validates cryptograms and de-tokenizes via TSP, manages anomalous transactions.
Functions:
- Accept tx, determine card brand/mode
- Validate cryptogram
- Validate ATC value within policy range
- Request digital-card info deletion on invalid result
- De-tokenize via TSP
Domain: TMS, cryptogram, de-tokenization, ATC, fraud
Related: TSP, DCP, IAS",거래,결제,토큰화
KAFKA,Apache Kafka,"목적: Apache Kafka. 발행-구독 모델 기반 분산 스트리밍 플랫폼. 고부하 환경에 적합한 대용량 데이터 처리, 수평 확장, 실시간 처리, 장기 보존, 다중 소비자 동시 읽기 지원.
주요 기능:
- 고부하 환경 대용량 데이터 처리
- 수평 확장 용이
- 데이터 무결성·가용성 보장
- 실시간 데이터 처리
- 발행-구독 모델로 시스템 결합도 감소
- 디스크 저장 장기 보존
- 다중 컨슈머 동시 읽기
- 커넥터·스트림 처리 확장
도메인: Kafka, 스트리밍, pub/sub, 분산, 메시지 큐, 인프라","Purpose: Apache Kafka; pub/sub-based distributed streaming platform suitable for high-load, horizontally scalable, real-time, durable, multi-consumer workloads.
Functions:
- Efficient processing in high-load environments
- Easy horizontal scaling
- Data integrity and availability
- Real-time data processing
- Pub/Sub model decouples systems
- Disk persistence for long-term retention
- Multiple consumers read concurrently
- Extensible via connectors and stream processing
Domain: Kafka, streaming, pub/sub, distributed, message queue, infrastructure",플랫폼,인프라/공통,메시징
KAS,Kona Address System,"목적: 주소 검색 시스템. 가맹점 위경도 채번, 도로명/지번/우편번호 변환 검색.
주요 기능:
- 가맹점 데이터 임포트 시 위경도 채번
- 주소 검색(도로명↔지번, 우편번호)
도메인: 주소, 위경도, 가맹점, 도로명, 지번, 우편번호","Purpose: Address-search system; assigns lat/lon to merchants and converts road↔Jibun↔ZIP.
Functions:
- Assign merchant lat/lon on data import
- Address search (road↔Jibun, ZIP)
Domain: address, lat/lon, merchant, road, Jibun, ZIP",가맹점,가맹점 관리,주소/위치
KBC_B,Kona Business Card Batch,"목적: 복지카드 배치 서비스. 복지카드 제휴사 배치 처리(외주 개발사 UX CUBE).
주요 기능:
- 복지카드 배치 처리
도메인: 복지카드, 배치, KBC
연계: KBC_P","Purpose: Welfare-card batch service (developed with UX CUBE).
Functions:
- Process welfare-card batches
Domain: welfare card, batch, KBC
Related: KBC_P",카드,카드 관리,복지카드 배치
KBC_P,Kona Business Card Portal,"목적: 복지카드 포탈 서비스(코나비즈포탈). 복지카드 제휴사 포탈로 사용.
주요 기능:
- 복지카드 제휴사 운영 포탈
도메인: 복지카드, 포탈, 코나비즈포탈
연계: KBC_B","Purpose: Welfare-card portal service (KonaBiz Portal); used by welfare-card affiliates.
Functions:
- Welfare-card affiliate ops portal
Domain: welfare card, portal, KonaBiz
Related: KBC_B",운영,운영 포탈,복지카드 포탈
KCMW,Kona Consultant Mobile Web,"목적: 코나카드 모집인의 회원가입/결제 실적을 모바일 환경에서 월별 조회할 수 있는 컴포넌트.
주요 기능:
- 모집인 월별 실적 조회
- 회원가입 및 결제 실적 통계
도메인: 모집인, 실적, 모바일웹, KCMW
연계: KCS","Purpose: Mobile web for KonaCard recruiters to view monthly sign-up and payment performance.
Functions:
- Monthly recruiter performance view
- Sign-up / payment statistics
Domain: recruiter, performance, mobile web, KCMW
Related: KCS",회원·인증,회원,모집인
KCPS,Kona Coupon System,"목적: KonaCard 쿠폰 관리 시스템. 외부쿠폰/내부쿠폰 발행·발행 취소를 관리. 쿠폰 정책은 KOD가 관리.
주요 기능:
- 외부/내부 쿠폰 발행
- 발행 취소 처리
- CRS/Admin/쿠폰샵 요청 처리
- KOD에서 쿠폰 정책 조회
도메인: 쿠폰, 외부쿠폰, 내부쿠폰, 발행, 취소
연계: CRS, KOD, 쿠폰샵","Purpose: KonaCard coupon management; issues/cancels external and internal coupons (policies stored in KOD).
Functions:
- Issue external / internal coupons
- Cancel coupon issuance
- Handle CRS/Admin/Coupon-shop requests
- Fetch coupon policy from KOD
Domain: coupon, external coupon, internal coupon, issue, cancel
Related: CRS, KOD, coupon shop",부가서비스,포인트·리워드,쿠폰
KCS,Kona Consultant Service,"목적: 코나카드 모집인 관리 컴포넌트. 모집 실적 산정, 수수료 내역/근거 자료 생성, 수수료 지급.
주요 기능:
- 모집인 정보 관리
- 추천인 코드 기반 모집 실적 판단
- 모집 수수료 내역/근거 자료 생성
- 수수료 지급 처리
도메인: 모집인, 추천인, 수수료, 회원 유치
연계: KCMW","Purpose: Recruiter management component; computes recruitment performance, generates commission records/evidence, and pays commissions.
Functions:
- Manage recruiter info
- Judge performance from referrer code
- Generate commission records/evidence
- Pay commissions
Domain: recruiter, referrer, commission, member acquisition
Related: KCMW",회원·인증,회원,모집인
KDS,Kona Delivery Service,"목적: 외부 배달 대행 서비스 라우팅. 배달 대행사 관리 및 외부 접수 연동.
주요 기능:
- 배달 대행사 관리
- 외부 배달 대행사 접수 연동
- 가맹점 ↔ 고객 배달 주문
도메인: 배달, 외부 대행사, 라우팅
연계: LOP","Purpose: External delivery routing service; manages delivery agencies and integrates with external order receiving.
Functions:
- Manage delivery agencies
- Integrate external delivery agency receiving
- Route delivery from merchant to customer
Domain: delivery, external agency, routing
Related: LOP",모빌리티,배달,배달 대행
KFDS,Kona Fraud Detection System,"목적: A-safe를 대체하는 신규 이상금융거래 탐지(FDS) 컴포넌트. 룰 관리 및 이상거래 탐지·정보 제공.
주요 기능:
- FDS 룰 관리
- 이상거래 탐지
- 탐지 결과 정보 제공
도메인: FDS, 신규, 이상거래, 룰 관리
연계: A-safe(레거시), FDS","Purpose: New fraud-detection (FDS) component replacing A-safe; manages rules, detects fraud, supplies info.
Functions:
- Manage FDS rules
- Detect fraud transactions
- Provide detection info
Domain: FDS, new, fraud, rule mgmt
Related: A-safe (legacy), FDS",거래,결제,사기 탐지
KFM,Kona File Manager,"목적: 코나카드의 대용량 엑셀 파일 다운로드 컴포넌트.
주요 기능:
- 대용량 엑셀 파일 다운로드 처리
도메인: 파일, 엑셀 다운로드, KFM","Purpose: Component that downloads large Excel files for KonaCard.
Functions:
- Download large Excel files
Domain: file, Excel download, KFM",운영,모니터링/도구,파일 도구
KMC,Konacard Multi Crm,"목적: 코나카드 고객센터 웹/콜센터 시스템. 고객·가맹점·비회원배송 등 조회 가능.
주요 기능:
- 고객 정보 조회
- 가맹점 정보 조회
- 비회원 배송 조회
- 고객 응대 기능 제공
도메인: 고객센터, 콜센터, CRM, 가맹점 조회","Purpose: KonaCard customer-center web / call-center system; enables inquiries on customers, merchants, non-member deliveries.
Functions:
- Customer inquiry
- Merchant inquiry
- Non-member delivery inquiry
- Customer support features
Domain: customer center, call center, CRM, merchant inquiry",운영,고객센터,콜센터
KMS,Key Management System,"목적: HSM 등 암호화 처리 장비를 통해 키를 안전하게 관리하는 컴포넌트.
주요 기능:
- HSM 기반 키 관리
- 암호화/복호화 처리 중계
도메인: 키 관리, HSM, 암호화
연계: HSM","Purpose: Key-management service using HSMs; safely stores and uses keys.
Functions:
- HSM-based key management
- Bridge encryption/decryption operations
Domain: key management, HSM, encryption
Related: HSM",회원·인증,인증,키 관리
KNOTIFY,Knotify,"목적: 코나카드 서비스의 알림(SMS/Push/E-Mail)을 담당. API 요청을 수신해 타입별로 발송.
주요 기능:
- SMS 알림 발송
- Push 알림 발송
- E-Mail 알림 발송
- 거래내역/장애/통보 알림
도메인: 알림, SMS, Push, E-Mail, Notification","Purpose: Handles notifications for Kona Card services (SMS / Push / Email) via API.
Functions:
- Send SMS notifications
- Send Push notifications
- Send Email notifications
- Cover tx/incident/notice alerts
Domain: notification, SMS, Push, Email",플랫폼,알림,알림 코어
KNOTIFY-DMZ,Knotify Dmz,"목적: 푸시 서비스 공급자(FCM/APN) 라우팅 컴포넌트. knotify가 보낸 푸시를 전달.
주요 기능:
- FCM 라우팅
- APN 라우팅
도메인: 푸시, FCM, APN, DMZ
연계: KNOTIFY","Purpose: Routes push messages to FCM/APN providers; relays pushes sent by Knotify.
Functions:
- Route to FCM (Firebase)
- Route to APN (Apple Push)
Domain: push, FCM, APN, DMZ
Related: KNOTIFY",플랫폼,알림,푸시 라우팅
KOD_ETN,Kona Operation Desk External,"목적: 외부용 코나 운영 데스크. 운영 포탈(플랫폼/파트너/비즈)에 시스템 정책·운영 정보·파트너/상품 정보를 제공.
주요 기능:
- 시스템 정책·운영 정보 설정/조회
- 파트너/상품 정보 제공
- 포탈에 내부 컴포넌트 정보 조합 제공
도메인: 운영 데스크, 포탈, 시스템 정책, 파트너/상품","Purpose: External Kona Operation Desk; serves system policy/ops info, partner/product info to Portal (platform/partner/biz).
Functions:
- Set and query system policy / ops info
- Provide partner/product info
- Aggregate internal-component info for Portal
Domain: ops desk, portal, system policy, partner/product",운영,운영 포탈,운영 데스크
KOD_ITN,Kona Operation Desk Internal,"목적: 내부용 코나 운영 데스크. Core 컴포넌트와 Wallet App 요청에 따라 상품·가맹점·정책·할인·쿠폰·결제 우선순위·수수료·정산 정보 제공.
주요 기능:
- 상품·가맹점·플레이어 정보 제공
- 시스템 설정·각종 정책 제공
- 할인(즉시할인/포인트 적립/단골 할인) 정보
- 쿠폰 정보, 결제 우선순위
- 결제/충전/환불 사용자 수수료 계산
- 정산 관련 설정 정보 제공
도메인: 운영 데스크, 정책, 할인, 수수료, 정산 설정
연계: Core 컴포넌트, Wallet App","Purpose: Internal Kona Operation Desk; serves product, merchant, policy, discount, coupon, fee, settlement info to core/Wallet.
Functions:
- Provide product, merchant, player info
- Provide system config and policies
- Discount info (instant / point accrual / regulars)
- Coupon info, payment priority
- Fee calc for pay/charge/refund
- Settlement-related config
Domain: ops desk, policy, discount, fee, settlement config
Related: core components, Wallet App",운영,운영 포탈,운영 데스크
